检查项,状态,阻塞,说明
残差符号与绝对误差,PASS,False,
电价与加权误差,PASS,False,
目标槽与日期边界,PASS,False,
白昼仅依赖固定时钟,PASS,False,
提前小时与四分组,PASS,False,
当日与延续标记,PASS,False,
0点当日延续数量,PASS,False,
6点当日延续数量,PASS,False,
12点当日延续数量,PASS,False,
18点当日延续数量,PASS,False,
p3_pv_issue_metrics.csv_分组行数,PASS,False,
p3_pv_issue_metrics.csv_所有样本数,PASS,False,差异行=[]
p3_pv_issue_metrics.csv_所有指标独立重算,PASS,False,差异行=[]
p3_pv_lead_metrics.csv_分组行数,PASS,False,
p3_pv_lead_metrics.csv_所有样本数,PASS,False,差异行=[]
p3_pv_lead_metrics.csv_所有指标独立重算,PASS,False,差异行=[]
配对账本183960唯一,PASS,False,六组每天重叠槽分别108/72/36/108/72/108，共504槽；完整24h窗口保留延续部分
配对无标签144条不填零,PASS,False,
0->6_同日同目标配对,PASS,False,
0->12_同日同目标配对,PASS,False,
0->18_同日同目标配对,PASS,False,
6->12_同日同目标配对,PASS,False,
6->18_同日同目标配对,PASS,False,
12->18_同日同目标配对,PASS,False,
配对修订及误差减少,PASS,False,
配对270组所有样本数,PASS,False,[]
配对所有比例误差与相关性,PASS,False,[]
残差全部分层样本数,PASS,False,[]
残差分位标准差偏度独立重算,PASS,False,[]
残差分层覆盖_六小时联合分层,PASS,False,
残差分层覆盖_发行汇总,PASS,False,
残差分层覆盖_月份汇总,PASS,False,
残差分层覆盖_月份联合分层,PASS,False,
残差分层覆盖_逐小时联合分层,PASS,False,
负荷账本52560唯一,PASS,False,
负荷实际价格对账,PASS,False,
LOAD_W1_因果历史逐项对账,PASS,False,
LOAD_D1_因果历史逐项对账,PASS,False,
负荷共同358天,PASS,False,
负荷8组所有指标与公平样本,PASS,False,
前缀1074条与独立统计,PASS,False,
前缀36组相关性及描述性斜率,PASS,False,[]
独立未来遮蔽_2025-03-20_6,PASS,False,未结束槽实际值及未来发行全部设NaN；当时信息不变
独立未来遮蔽_2025-03-20_12,PASS,False,未结束槽实际值及未来发行全部设NaN；当时信息不变
独立未来遮蔽_2025-03-20_18,PASS,False,未结束槽实际值及未来发行全部设NaN；当时信息不变
独立未来遮蔽_2025-07-01_6,PASS,False,未结束槽实际值及未来发行全部设NaN；当时信息不变
独立未来遮蔽_2025-07-01_12,PASS,False,未结束槽实际值及未来发行全部设NaN；当时信息不变
独立未来遮蔽_2025-07-01_18,PASS,False,未结束槽实际值及未来发行全部设NaN；当时信息不变
独立未来遮蔽_2025-12-09_6,PASS,False,未结束槽实际值及未来发行全部设NaN；当时信息不变
独立未来遮蔽_2025-12-09_12,PASS,False,未结束槽实际值及未来发行全部设NaN；当时信息不变
独立未来遮蔽_2025-12-09_18,PASS,False,未结束槽实际值及未来发行全部设NaN；当时信息不变
主程序9组扰动及正对照,PASS,False,
无模型训练优化器及工作簿写入代码,PASS,False,
运行计数均为零,PASS,False,
未生成result3或其他工作簿,PASS,False,
未选择更新组合或鲁棒预算,PASS,False,
诊断图非空_p3_pv_mae_by_lead.png,PASS,False,
诊断图非空_p3_pv_rmse_by_lead.png,PASS,False,
诊断图非空_p3_pv_issue_lead_heatmap.png,PASS,False,
验收后只读输入未变_input\original\C题.pdf,PASS,False,
验收后只读输入未变_input\original\附件1.xlsx,PASS,False,
验收后只读输入未变_input\original\附件2.xlsx,PASS,False,
验收后只读输入未变_input\original\附件3.xlsx,PASS,False,
验收后只读输入未变_input\templates\result3.xlsx,PASS,False,
验收后只读输入未变_A_route\common\01_preprocessing\processed\fixed_day_10min.csv,PASS,False,
验收后只读输入未变_A_route\common\01_preprocessing\processed\year_actual_10min.csv,PASS,False,
验收后只读输入未变_A_route\common\01_preprocessing\processed\pv_forecast_hourly_long.csv,PASS,False,
验收后只读输入未变_A_route\problem2\02_batch_run\results\result2.xlsx,PASS,False,
验收后只读输入未变_A_route\problem2\03_candidate\CANDIDATE_FREEZE_MANIFEST.json,PASS,False,
验收后只读输入未变_A_route\CURRENT_STATE.md,PASS,False,
验收后只读输入未变_A_route\problem3\00_semantic_audit\P3_SEMANTIC_AUDIT.md,PASS,False,
验收后只读输入未变_A_route\problem3\00_semantic_audit\contracts\p3_semantic_contract.json,PASS,False,
验收后只读输入未变_A_route\problem3\00_semantic_audit\local_verification\P3_SEMANTIC_GATE.md,PASS,False,
验收后只读输入未变_A_route\problem3\00_semantic_audit\local_verification\p3_semantic_check_results.json,PASS,False,
验收后只读输入未变_A_route\problem3\00_information_audit\P3_INFORMATION_AUDIT_PLAN.md,PASS,False,
验收后只读输入未变_A_route\problem3\00_information_audit\P3_INFORMATION_CODEX_TASK.md,PASS,False,
验收后只读输入未变_A_route\problem3\00_information_audit\P3_INFORMATION_START_PROMPT.md,PASS,False,
验收后只读输入未变_A_route\problem3\00_information_audit\P3_INFORMATION_AUDIT_SPEC.json,PASS,False,
