runner,check_id,scope,check_name,status,blocking,expected,actual,detail
main,RECON-MAIN-020,forecast_grid,semantic alignment remains unauthorized,PASS,true,0,0,
main,RECON-MAIN-021,information_set,required decision contexts,PASS,true,11,11,
main,RECON-MAIN-022,information_set,10 quantities per decision context,PASS,true,10 each,[10],
main,RECON-MAIN-023,information_set,January history before first output,PASS,true,31,31,
main,RECON-MAIN-024,state_units,rated ten-minute transfer,PASS,true,833.3333333333334,833.3333333333333,
main,RECON-MAIN-025,state_units,usable state band,PASS,true,9600,9600,
main,RECON-MAIN-026,output_contract,annual plan/adjustment date contract,PASS,true,334 rows; 2025-02-01..2025-12-31,6,
validator,RECON-VALIDATOR-001,pipeline,gate absent before independent validator,PASS,true,False,False,
validator,RECON-VALIDATOR-002,a1_freeze,no A-1 file removed,PASS,true,0,0,
validator,RECON-VALIDATOR-003,a1_freeze,no A-1 file content changed,PASS,true,0,0,
validator,RECON-VALIDATOR-004,a1_freeze,no A-1 file added,PASS,true,0,0,
validator,RECON-VALIDATOR-005,cross_source,all exact key and marker checks pass,PASS,true,8,8,
validator,RECON-VALIDATOR-006,cross_source,144-marker sequence stable,PASS,true,144 equal markers; 0:10..0:00+1,rows=144; first=0:10; last=0:00+1,
validator,RECON-VALIDATOR-007,time_semantics,both hypotheses generated for 144 slots,PASS,true,"{'H-END': 144, 'H-START': 144}","{'H-END': 144, 'H-START': 144}",
validator,RECON-VALIDATOR-008,time_semantics,no hypothesis silently selected,PASS,true,0,0,
validator,RECON-VALIDATOR-009,time_semantics,OI-01 conclusion explicit,PASS,true,OI01_STRUCTURAL_CONFLICT_CONFIRMED,OI01_STRUCTURAL_CONFLICT_CONFIRMED,
validator,RECON-VALIDATOR-010,forecast_grid,1460 issue rows intact,PASS,true,1460,1460,
validator,RECON-VALIDATOR-011,forecast_grid,35040 forecast rows intact,PASS,true,35040,35040,
validator,RECON-VALIDATOR-012,forecast_grid,24 horizons intact per issue,PASS,true,1460,1460,
validator,RECON-VALIDATOR-013,forecast_grid,target formula intact,PASS,true,35040,35040,
validator,RECON-VALIDATOR-014,forecast_grid,coverage row per issue clock,PASS,true,"{'12:00', '18:00', '6:00', '0:00'}","{'12:00', '18:00', '6:00', '0:00'}",
validator,RECON-VALIDATOR-015,forecast_grid,candidate alignment rows,PASS,true,35040,35040,
validator,RECON-VALIDATOR-016,forecast_grid,candidate matches do not authorize semantic equality,PASS,true,0,0,
validator,RECON-VALIDATOR-017,forecast_grid,OI-13 conclusion explicit,PASS,true,OI13_REMAINS_OPEN,OI13_REMAINS_OPEN,
validator,RECON-VALIDATOR-018,information_set,all required decision contexts,PASS,true,11,11,
validator,RECON-VALIDATOR-019,information_set,classification vocabulary,PASS,true,"{'CURRENT_STATE_IF_OBSERVED', 'KNOWN_BY_PROBLEM_ASSUMPTION', 'AVAILABLE_FROM_PUBLISHED_FORECAST', 'AMBIGUOUS_FROM_STATEMENT', 'REALIZED_HISTORY_ONLY', 'EX_POST_ONLY'}","['AMBIGUOUS_FROM_STATEMENT', 'AVAILABLE_FROM_PUBLISHED_FORECAST', 'CURRENT_STATE_IF_OBSERVED', 'EX_POST_ONLY', 'KNOWN_BY_PROBLEM_ASSUMPTION', 'REALIZED_HISTORY_ONLY']",
validator,RECON-VALIDATOR-020,information_set,future actuals are ex-post outside deterministic P1 load,PASS,true,EX_POST_ONLY,['EX_POST_ONLY'],
validator,RECON-VALIDATOR-021,artifacts,all required pre-gate tables exist,PASS,true,"{'forecast_actual_candidate_alignment.csv', 'output_contract_recon.csv', 'time_semantics_hypotheses.csv', 'source_template_slot_alignment.csv', 'cross_source_join_checks.csv', 'recon_checks.csv', 'state_unit_contract.csv', 'forecast_grid_coverage.csv', 'information_availability_matrix.csv'}","['a1_frozen_hashes.csv', 'cross_source_join_checks.csv', 'forecast_actual_candidate_alignment.csv', 'forecast_grid_coverage.csv', 'information_availability_matrix.csv', 'output_contract_recon.csv', 'recon_checks.csv', 'source_template_slot_alignment.csv', 'state_unit_contract.csv', 'time_semantics_hypotheses.csv']",
validator,RECON-VALIDATOR-022,artifacts,all required pre-gate reports exist,PASS,true,"{'FORECAST_GRID_RECON.md', 'RUN_INFO.md', 'STATE_UNIT_RECON.md', 'TIME_ALIGNMENT_RECON.md', 'CROSS_SOURCE_CONTRACT.md', 'INFORMATION_SET_RECON.md', 'RECON_SUMMARY.md', 'OUTPUT_CONTRACT_RECON.md'}","['CROSS_SOURCE_CONTRACT.md', 'FORECAST_GRID_RECON.md', 'INFORMATION_SET_RECON.md', 'OUTPUT_CONTRACT_RECON.md', 'RECON_SUMMARY.md', 'RUN_INFO.md', 'STATE_UNIT_RECON.md', 'TIME_ALIGNMENT_RECON.md']",
validator,RECON-VALIDATOR-023,artifacts,final gate intentionally pending,PASS,true,False,False,Main writes RECON_GATE.md only after validator completion.
validator,RECON-VALIDATOR-024,scope,no forecast-error metric artifact generated,PASS,true,0,0,
validator,RECON-VALIDATOR-025,scope,no EDA/model output directory created,PASS,true,0,0,
