类别,项目,A_route,B_route,单位,说明/核验
指定日期,2025-03-20 恒等分解 dG=A-B,-2531.5,,kWh,d(C-D) -4751.2; dW -3806.3; -dE -56.0; U_A +6082.0
指定日期,2025-03-20 六个指定时段计划购电 A,槽61:0.000000 / 槽73:769.302008 / 槽85:0.000000 / 槽97:465.860489 / 槽109:718.221211 / 槽121:0.000000,,kWh,槽61/73/85/97/109/121 = 10:00/12:00/14:00/16:00/18:00/20:00 起 10 分钟
指定日期,2025-03-20 六个指定时段计划购电 B,槽61:0.000000 / 槽73:677.230935 / 槽85:0.000000 / 槽97:513.127666 / 槽109:704.706302 / 槽121:0.000000,,kWh,"位置与 A 完全对应, 无错位"
指定日期,2025-03-20 4h块1 充/放 A/B,1502.129/152.190,106.029/151.974,kWh,块1 = 0:00-4:00
指定日期,2025-03-20 4h块2 充/放 A/B,1675.128/4438.190,450.685/4629.459,kWh,块2 = 4:00-8:00
指定日期,2025-03-20 4h块3 充/放 A/B,6348.125/2777.377,6291.457/2777.377,kWh,块3 = 8:00-12:00
指定日期,2025-03-20 4h块4 充/放 A/B,1814.968/481.852,2798.166/402.432,kWh,块4 = 12:00-16:00
指定日期,2025-03-20 4h块5 充/放 A/B,239.956/5732.993,264.482/5729.489,kWh,块5 = 16:00-20:00
指定日期,2025-03-20 4h块6 充/放 A/B,4073.079/2920.337,10624.327/2942.737,kWh,块6 = 20:00-24:00
指定日期,2025-06-21 计划量 A/B,38014.03,39588.57,kWh,ratio A/B=0.960227
指定日期,2025-06-21 计划费 A/B,21762.93,22577.11,元,紧急量 A 0.00 / B 0.00 kWh
指定日期,2025-06-21 0:00 / 24:00 SOC,7636.39 / 9986.80,10800.00 / 10800.00,kWh,
指定日期,2025-06-21 恒等分解 dG=A-B,-1574.5,,kWh,d(C-D) +2339.9; dW -5888.3; -dE -0.0; U_A +1973.9
指定日期,2025-06-21 六个指定时段计划购电 A,槽61:0.000000 / 槽73:0.000000 / 槽85:0.000000 / 槽97:165.661812 / 槽109:0.000000 / 槽121:0.000000,,kWh,槽61/73/85/97/109/121 = 10:00/12:00/14:00/16:00/18:00/20:00 起 10 分钟
指定日期,2025-06-21 六个指定时段计划购电 B,槽61:0.000000 / 槽73:0.000000 / 槽85:0.000000 / 槽97:204.870890 / 槽109:0.000000 / 槽121:0.000000,,kWh,"位置与 A 完全对应, 无错位"
指定日期,2025-06-21 4h块1 充/放 A/B,549.399/1452.341,111.032/2334.545,kWh,块1 = 0:00-4:00
指定日期,2025-06-21 4h块2 充/放 A/B,418.218/4390.392,382.896/4836.610,kWh,块2 = 4:00-8:00
指定日期,2025-06-21 4h块3 充/放 A/B,9760.759/0.000,8359.351/0.000,kWh,块3 = 8:00-12:00
指定日期,2025-06-21 4h块4 充/放 A/B,0.000/0.000,0.000/0.000,kWh,块4 = 12:00-16:00
指定日期,2025-06-21 4h块5 充/放 A/B,162.156/5447.571,160.121/5312.928,kWh,块5 = 16:00-20:00
指定日期,2025-06-21 4h块6 充/放 A/B,8772.417/2521.311,9468.057/2485.897,kWh,块6 = 20:00-24:00
指定日期,2025-09-23 计划量 A/B,69879.48,66841.14,kWh,ratio A/B=1.045456
指定日期,2025-09-23 计划费 A/B,43544.97,41378.31,元,紧急量 A 6.03 / B 820.39 kWh
指定日期,2025-09-23 0:00 / 24:00 SOC,8621.83 / 9086.44,10772.80 / 10698.38,kWh,
指定日期,2025-09-23 恒等分解 dG=A-B,+3038.3,,kWh,d(C-D) +529.3; dW -986.9; -dE +814.4; U_A +2681.6
指定日期,2025-09-23 六个指定时段计划购电 A,槽61:0.000000 / 槽73:494.561565 / 槽85:0.000000 / 槽97:589.326213 / 槽109:790.383878 / 槽121:0.000000,,kWh,槽61/73/85/97/109/121 = 10:00/12:00/14:00/16:00/18:00/20:00 起 10 分钟
指定日期,2025-09-23 六个指定时段计划购电 B,槽61:0.000000 / 槽73:433.911777 / 槽85:0.000000 / 槽97:509.394566 / 槽109:780.124079 / 槽121:0.000000,,kWh,"位置与 A 完全对应, 无错位"
指定日期,2025-09-23 4h块1 充/放 A/B,2193.624/6.199,164.263/67.771,kWh,块1 = 0:00-4:00
指定日期,2025-09-23 4h块2 充/放 A/B,329.051/6476.014,78.549/6463.855,kWh,块2 = 4:00-8:00
指定日期,2025-09-23 4h块3 充/放 A/B,5319.442/1896.616,5014.103/1896.616,kWh,块3 = 8:00-12:00
指定日期,2025-09-23 4h块4 充/放 A/B,5453.442/495.133,5586.293/554.095,kWh,块4 = 12:00-16:00
指定日期,2025-09-23 4h块5 充/放 A/B,116.312/5568.534,53.298/6014.302,kWh,块5 = 16:00-20:00
指定日期,2025-09-23 4h块6 充/放 A/B,8514.246/2899.507,10557.930/2402.995,kWh,块6 = 20:00-24:00
指定日期,2025-12-21 计划量 A/B,97601.43,100004.65,kWh,ratio A/B=0.975969
指定日期,2025-12-21 计划费 A/B,63014.22,64366.53,元,紧急量 A 1.10 / B 0.00 kWh
指定日期,2025-12-21 0:00 / 24:00 SOC,9241.37 / 9113.24,10800.00 / 10800.00,kWh,
指定日期,2025-12-21 恒等分解 dG=A-B,-2403.2,,kWh,d(C-D) -96.3; dW -6450.3; -dE -1.1; U_A +4144.5
指定日期,2025-12-21 六个指定时段计划购电 A,槽61:0.000000 / 槽73:965.946920 / 槽85:0.000000 / 槽97:812.813684 / 槽109:740.102460 / 槽121:0.000000,,kWh,槽61/73/85/97/109/121 = 10:00/12:00/14:00/16:00/18:00/20:00 起 10 分钟
指定日期,2025-12-21 六个指定时段计划购电 B,槽61:0.000000 / 槽73:1035.933746 / 槽85:0.000000 / 槽97:874.961686 / 槽109:728.901949 / 槽121:0.000000,,kWh,"位置与 A 完全对应, 无错位"
指定日期,2025-12-21 4h块1 充/放 A/B,1553.246/147.935,55.873/94.500,kWh,块1 = 0:00-4:00
指定日期,2025-12-21 4h块2 充/放 A/B,1196.661/1510.057,852.645/1443.882,kWh,块2 = 4:00-8:00
指定日期,2025-12-21 4h块3 充/放 A/B,5559.842/7137.758,6046.663/7035.192,kWh,块3 = 8:00-12:00
指定日期,2025-12-21 4h块4 充/放 A/B,7033.411/2230.007,6346.724/2200.969,kWh,块4 = 12:00-16:00
指定日期,2025-12-21 4h块5 充/放 A/B,0.695/5582.863,0.000/5637.860,kWh,块5 = 16:00-20:00
指定日期,2025-12-21 4h块6 充/放 A/B,8527.540/2842.526,10469.613/2842.526,kWh,块6 = 20:00-24:00
